artist,title,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,valence,mode,mood_1
Nirvana,Love Buzz,0.885,0.169,138.153,0.0354,3.22E-05,0.196,4,0.47,3,0.78,1,Brooding
The Presidents Of The United States Of America,Lump,0.873,0.165,142.726,0.0386,0.00468,0,4,0.499,6,0.869,1,Aggressive
Stanton Warriors,So Sweet,0.936,0.118,127.997,0.0425,0.000531,0.594,4,0.715,4,0.106,0,Energizing
Natalie Marchenko,License To Chill - Pacha Sax Lounge RMX,0.511,0.24,171.963,0.0302,0.262,0.837,4,0.581,5,0.399,0,
Robyn,Be Mine! - Live At The Cherrytree House,0.249,0.114,116.599,0.0451,0.955,0,4,0.533,0,0.513,0,Romantic
Pearl Jam,Black,0.548,0.179,76.02,0.0287,0.294,0,4,0.376,4,0.233,0,Brooding
Sam Hunt,Leave The Night On,0.953,0.349,171.971,0.0624,0.0996,0,4,0.516,9,0.849,1,Yearning
George Carlin,War Pictures,0.546,0.147,72.94,0.961,0.921,0,3,0.611,7,0.491,1,Other
Kaya May,"Hands to Myself, Love Yourself, Perfect (Acoustic Mashup) [feat. Landon Austin]",0.445,0.113,110.056,0.05,0.0575,0,4,0.702,9,0.326,0,Brooding
Notaker,Infinite,0.669,0.108,99.987,0.0483,0.0937,0.82,4,0.633,1,0.0384,0,Excited
Thomas Rhett,I Feel Good,0.584,0.0677,106.967,0.0366,0.00658,0,4,0.834,3,0.964,0,Energizing
Kaftan,Romance In Dubai,0.194,0.723,123.994,0.0343,0.846,0.913,4,0.447,10,0.249,0,Empowering
Kail Baxley,Better Feeln' Better Days,0.401,0.0943,149.92,0.0423,0.11,0.833,4,0.764,1,0.0722,1,Aggressive
Dirty Mac,Yer Blues - Live,0.874,0.686,110.95,0.132,0.00469,0.127,4,0.408,8,0.729,1,
Fat Jon,Feel The Void,0.228,0.152,176.037,0.0682,0.312,0.83,4,0.593,6,0.642,0,Sensual
Tchavolo Schmitt,L'indien,0.42,0.108,112.912,0.0463,0.894,0.767,4,0.632,5,0.525,1,Sophisticated
Sofia's Choice,Isoldes World,0.161,0.127,80.014,0.0321,0.171,0.908,3,0.611,7,0.154,1,
