Song,Key,Mode,Danceability,Energy,Valence,Tempo,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,T-Anger,T-Fear,T-Joy,T-Sadness,T-Analytical,T-Confident,T-Tentative,Mood
One Step Too Far by Faithless,4,0,0.644,0.852,0.629,111.987,1.0,0.983,0.364,0.326,0.3,0.317,0.315,0.302,0.271,0.229,0.209,0.454,0.0,0.0,0.0,0.570681,0.0,0.0,0.0,relaxed
Day One: Vigil by Ayreon,4,0,0.31,0.386,0.509,87.398,0.344,0.374,0.307,0.442,0.968,1.0,0.774,0.251,0.289,0.273,0.269,0.238,0.0,0.0,0.0,0.564595,0.0,0.0,0.908434,sad
Catch The Rainbow by Rainbow,4,0,0.32,0.412,0.282,132.986,0.949,1.0,0.498,0.537,0.498,0.523,0.507,0.482,0.413,0.246,0.116,0.217,0.0,0.0,0.828141,0.0,0.0,0.0,0.8400280000000001,sad
Greenville by Lucinda Williams,1,1,0.353,0.395,0.312,185.265,0.533,1.0,0.377,0.314,0.467,0.345,0.359,0.437,0.398,0.403,0.498,0.555,0.0,0.0,0.0,0.0,0.0,0.0,0.770435,sad
Heart And Shoulder by Heather Nova,7,1,0.517,0.681,0.323,114.966,1.0,0.856,0.419,0.275,0.257,0.264,0.203,0.114,0.171,0.263,0.252,0.528,0.0,0.0,0.0,0.790061,0.0,0.0,0.724637,relaxed
Long Stick Goes Boom by Krokus,2,1,0.442,0.744,0.244,128.002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.522234,0.0,angry
Sweet Darlin' by She & Him,0,1,0.318,0.876,0.169,133.925,0.901,1.0,0.335,0.288,0.224,0.294,0.202,0.119,0.201,0.225,0.355,0.247,0.0,0.0,0.0,0.512496,0.0,0.0,0.781683,happy
Action by Powerman 5000,1,0,0.442,0.997,0.303,146.336,0.462,1.0,0.364,0.695,0.447,0.677,0.731,0.554,0.487,0.333,0.33,0.263,0.0,0.0,0.52937,0.0,0.0,0.0,0.9540799999999999,angry
All For Swinging You Around by The New Pornographers,6,1,0.401,0.909,0.797,177.948,0.414,0.233,0.175,0.183,0.157,0.196,0.286,0.268,0.118,0.087,0.194,1.0,0.0,0.0,0.0,0.5187390000000001,0.873713,0.0,0.0,happy
And I'm Evil by Beatallica,0,1,0.275,0.933,0.611,75.722,1.0,0.983,0.502,0.508,0.569,0.569,0.598,0.579,0.572,0.579,0.631,0.16,0.709518,0.0,0.0,0.0,0.0,0.0,0.733641,happy
Chi by Korn,1,0,0.697,0.808,0.54,95.841,0.079,0.049,0.035,0.026,0.02,0.027,0.041,0.265,1.0,0.894,0.393,0.145,0.0,0.0,0.0,0.743478,0.0,0.6245310000000001,0.0,angry
Neon Moon by Brooks & Dunn,9,1,0.702,0.632,0.457,102.404,0.702,0.691,0.671,0.767,0.929,0.707,0.67,0.775,0.963,0.962,1.0,0.991,0.0,0.0,0.0,0.730222,0.664447,0.73229,0.0,sad
A Dream About You by Keri Noble,10,0,0.633,0.193,0.115,73.982,0.211,0.059,0.082,0.07,0.092,0.227,0.15,0.041,0.037,0.236,1.0,0.919,0.0,0.0,0.0,0.749115,0.51064,0.0,0.71572,relaxed
