Song,T-Anger,T-Fear,T-Joy,T-Sadness,T-Analytical,T-Confident,T-Tentative,Mood
Impossible by The Clientele,0,0,0,0.574506,0.570598,0.939384,0,relaxed
Love Is All by The Tallest Man on Earth,0,0,0,0,0,0,0,sad
Silence Is Golden by Garbage,0,0.617185,0,0,0.876898,0,0.830009,angry
And It Stoned Me by Van Morrison,0,0,0,0,0,0,0.903094,relaxed
I'm On My Way by The Proclaimers,0,0,0.516311,0,0,0,0.527933,happy
My Gun Go Off by 50 Cent,0,0,0,0,0,0,0.777243,angry
Mamacita by Collie Buddz,0,0,0.860156,0,0,0.509802,0,happy
Coming Home by Avenged Sevenfold,0,0,0,0,0.706763,0.840077,0,angry
How Does It Feel by Avril Lavigne,0,0.590764,0,0.563847,0,0,0.906451,sad
Never Went to Church by The Streets,0,0.713779,0,0,0,0,0.874805,sad
Chuckie by Geto Boys,0.535248,0,0,0.503814,0,0,0.709824,angry
September by David Sylvian,0,0,0.921137,0,0,0,0,relaxed
The Tide Began To Rise by Demon Hunter,0,0,0,0.555579,0,0,0,sad
Better Left Unsaid by Lily Holbrook,0,0,0,0.554562,0.858201,0,0.914329,sad
Illusion by Creed,0,0,0,0.596446,0,0,0.982669,angry
Matkustaja by Egotrippi,0,0,0,0,0,0,0,sad
Don't Give Up by The Whitest Boy Alive,0,0,0,0,0.625997,0.537798,0,relaxed
By the Pain I See in Others by Opeth,0,0,0,0.501566,0,0,0,sad
Better Than This by Salt The Wound,0,0,0,0.633947,0,0.915914,0,angry
Aces High by Iron Maiden,0.529016,0,0,0,0,0.648781,0,angry
The Prettiest Thing by Norah Jones,0,0,0,0,0,0,0.930321,relaxed
Written by Lamb,0,0,0.679344,0,0,0,0.887842,relaxed
Rockstar by Nickleback,0,0,0,0,0,0,0,angry
Megalodon by Mastodon,0,0,0,0,0,0,0.71572,angry
No One Else by Natalie Walker,0,0,0.814276,0,0,0.895883,0,relaxed
Country Love Song by Stephen Lynch,0,0,0.78108,0,0,0,0.698612,happy
Bright Red Star by Stereophonics,0,0,0.811109,0,0.879823,0,0.841619,sad
Can Can by Bad Manners,0,0,0.577511,0,0,0,0,happy
Young by Hollywood Undead,0,0,0,0.720316,0,0.890804,0,angry
The Magnificent Tree by Hooverphonic,0,0,0,0,0,0.88533,0,relaxed
Quiet Place by Working for a Nuclear Free City,0,0,0.678263,0,0,0,0,relaxed
Atlantic City by Bruce Springsteen,0,0,0,0,0,0,0,sad
Invisible by Alison Moyet,0,0,0,0.540472,0.655196,0,0.911392,sad
We Made You by Eminem,0,0.683257,0.55481,0.685004,0,0,0,happy
I Hate The Way by Polly Scattergood,0.513942,0,0.579304,0.622238,0,0,0.82981,sad
Wherever You Are by Ulrich Schnauss,0,0,0,0.770975,0,0,0,relaxed
We Will All Go Together When We Go by Tom Lehrer,0,0,0,0.761902,0.857009,0.535153,0,happy
The World Needs a Hero by Megadeth,0,0,0,0,0,0,0,sad
Life Is A Pigsty by Morrissey,0.52122,0,0,0,0,0,0.886455,angry
Agitated by Muse,0,0,0.561232,0,0,0.638212,0,sad
Fields Of Gold by Fourplay,0,0,0,0,0,0.880065,0,angry
Summer Nights by Rascal Flatts,0,0,0.665373,0,0,0,0,relaxed
Adios Ayer by José Padilla,0,0,0.833663,0,0,0.545859,0,happy
Jungle Drums by Emiliana Torrini,0,0,0.640213,0,0,0,0.770435,relaxed
The Breeze by Dr. Dog,0,0,0.76576,0,0,0,0.698156,happy
Bees & butterflies by Girls In Hawaii,0,0,0,0,0,0.65696,0,relaxed
Dirge Inferno by Cradle of Filth,0,0.622199,0,0,0,0.950217,0,relaxed
Big Big Love (Fig. 2) by Foals,0,0,0,0.558041,0,0,0,angry
Welcome Home (Sanitarium) by Metallica,0,0,0.784464,0,0,0.598512,0,relaxed
Little Bird by Imogen Heap,0,0,0,0,0,0,0,sad
Do You Know How It Feels by The Flying Burrito Brothers,0,0,0,0.552725,0,0,0.881813,relaxed
Easier by Grizzly Bear,0,0,0.611285,0,0.643758,0,0.920133,sad
Sinners Like Me by Eric Church,0,0,0,0,0.966696,0,0,relaxed
Roll On Down The Highway by Bachman-Turner Overdrive,0,0,0,0.621927,0,0,0.688854,relaxed
Gimme All Your Lovin' by ZZ Top,0,0,0,0,0,0,0,happy
War? by System of a Down,0,0,0.766131,0,0,0.938707,0,happy
Feuer Frei! by Nachtmahr,0,0,0,0,0,0,0,angry
Bali Ha'i by Stacey Kent,0,0,0,0,0.551743,0,0,angry
You Belong With Me by Taylor Swift,0,0,0.697809,0,0,0,0.947419,relaxed
Only Anarchists Are Pretty by The World/Inferno Friendship Society,0,0,0,0,0,0,0.733641,happy
Like my very own blood by Tiger Lou,0,0,0,0.507391,0.715293,0,0.548855,happy
Spiritual Law by Slayer,0,0,0.724724,0,0,0.792621,0,sad
Stupid Girl by COLD,0,0,0,0,0,0.750888,0,angry
Torn Blue Foam Couch by Grand Archives,0.7175,0,0,0,0,0,0,angry
Turu Tu Tu... by Ania,0,0.552873,0,0,0,0.937689,0,relaxed
"New York, New York by Reel Big Fish",0,0,0,0,0,0,0,sad
Hot Girls In Love by Loverboy,0,0,0,0.521604,0,0.739476,0,happy
Bullet Train by Judas Priest,0,0,0.829406,0,0,0.548588,0,happy
The Wandering by The Foreshadowing,0,0,0,0,0,0.890603,0,angry
Hurtful by Erik Hassle,0.675336,0,0,0,0,0,0.564885,sad
Girls & Boys by Good Charlotte,0,0,0,0.701379,0,0,0,sad
Before by Riverside,0,0,0.59494,0,0,0,0.675327,happy
The One For You by Saybia,0,0,0,0.743111,0,0,0.925837,sad
Bricks And Mortar by The Jam,0,0,0,0,0,0,0,sad
The Divine Wings Of Tragedy by Symphony X,0,0,0.718013,0,0.606204,0,0.672523,angry
Scentless Apprentice by Nirvana,0,0,0,0.90181,0,0,0,sad
End Of The Run by Deborah Harry,0,0,0,0,0,0,0.948691,angry
Man! I Feel Like A Woman! by Shania Twain,0,0.506981,0,0.552439,0.578094,0,0.916046,sad
Mamma by Björn Rosenström,0,0,0.639173,0,0,0,0,happy
The Boys Of Summer by The Ataris,0,0,0,0,0,0,0,happy
U-Haul by Angie Stone,0,0,0.616308,0,0,0,0,happy
Dirty Mind by The Pipettes,0,0,0,0.555323,0,0,0.762985,relaxed
