Song,Key,Mode,Danceability,Energy,Valence,Tempo,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,T-Anger,T-Fear,T-Joy,T-Sadness,T-Analytical,T-Confident,T-Tentative,Mood
Gift by Rocco DeLuca & The Burden,0,1,0.402,0.617,0.189,147.989,0.071,0.171,1.0,0.155,0.109,0.292,0.228,0.812,0.192,0.056,0.057,0.254,0.0,0.0,0.0,0.0,0.654883,0.0,0.0,sad
Piss Angel by Pig Destroyer,10,0,0.198,0.944,0.181,94.47,0.184,0.264,0.345,0.368,0.386,1.0,0.926,0.57,0.592,0.357,0.588,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.859075,angry
Don't Let Me Be Misunderstood by Eric Burdon,11,0,0.749,0.545,0.654,111.407,0.95,1.0,0.821,0.677,0.654,0.675,0.714,0.783,0.825,0.826,0.943,0.947,0.0,0.0,0.0,0.593549,0.0,0.0,0.890302,angry
In The House Of Stone And Light by Martin Page,11,1,0.623,0.797,0.802,89.274,0.042,0.007,0.007,0.006,0.004,0.004,0.007,0.004,0.009,0.008,0.029,1.0,0.0,0.0,0.0,0.0,0.0,0.680879,0.0,relaxed
On Repeat by LCD Soundsystem,7,1,0.827,0.669,0.825,134.026,0.23,0.214,0.173,0.117,0.131,0.131,0.352,0.968,1.0,0.842,0.532,0.311,0.0,0.0,0.0,0.0,0.0,0.8695780000000001,0.0,happy
Katharina by Fotos,6,0,0.535,0.371,0.251,149.956,0.93,0.818,1.0,0.591,0.57,0.279,0.174,0.476,0.319,0.22,0.147,0.323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
Drowning In Your Eyes by Ephraim Lewis,5,0,0.689,0.419,0.529,110.446,0.906,1.0,0.373,0.34,0.408,0.42,0.279,0.278,0.261,0.203,0.203,0.373,0.0,0.0,0.5239510000000001,0.0,0.649807,0.0,0.762985,relaxed
Losing Sight by As I Lay Dying,0,1,0.279,0.948,0.416,172.189,0.551,1.0,0.949,0.459,0.373,0.533,0.27,0.187,0.237,0.178,0.149,0.406,0.0,0.0,0.0,0.764582,0.65761,0.0,0.738174,angry
Devil Gate Drive by Suzi Quatro,2,1,0.568,0.94,0.35,135.541,0.909,0.794,0.922,0.76,0.723,0.72,0.842,0.739,0.795,0.755,0.723,1.0,0.0,0.0,0.0,0.0,0.0,0.545859,0.0,happy
Feuer und Wasser by Rammstein,0,0,0.409,0.525,0.223,160.033,0.756,1.0,0.648,0.606,0.655,0.683,0.532,0.526,0.356,0.366,0.261,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sad
On The Radio by The Concretes,2,1,0.364,0.381,0.383,130.674,0.996,1.0,0.575,0.528,0.506,0.507,0.487,0.466,0.466,0.45,0.446,0.608,0.0,0.0,0.698105,0.0,0.8480280000000001,0.0,0.7986949999999999,happy
Pool Party by The Aquabats,9,1,0.511,0.92,0.739,164.23,0.985,1.0,0.582,0.461,0.412,0.373,0.323,0.3,0.33,0.341,0.398,0.702,0.0,0.0,0.6234930000000001,0.0,0.0,0.0,0.541037,happy
"Honey Please, Can't Ya See by Barry White",8,0,0.711,0.737,0.85,114.881,1.0,0.978,0.281,0.236,0.208,0.206,0.201,0.173,0.164,0.148,0.17,0.335,0.0,0.0,0.56782,0.0,0.0,0.0,0.631794,happy
Use the Man by Megadeth,0,1,0.207,0.863,0.47,75.48,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,angry
Half In Love With Elizabeth by Mystery Jets,9,0,0.536,0.883,0.69,147.142,0.752,1.0,0.882,0.873,0.793,0.644,0.94,0.906,0.756,0.993,0.647,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.766705,happy
Gutless by Hole,9,0,0.497,0.951,0.617,147.871,1.0,0.852,0.07,0.056,0.074,0.06,0.071,0.06,0.074,0.055,0.029,0.034,0.0,0.0,0.0,0.552736,0.0,0.972242,0.0,angry
Silver Shadow by Atlantic Starr,6,1,0.698,0.703,0.801,108.469,0.976,1.0,0.287,0.239,0.185,0.146,0.12,0.096,0.071,0.045,0.027,0.282,0.0,0.0,0.8064180000000001,0.0,0.677987,0.0,0.0,relaxed
I Just Want To Celebrate by Rare Earth,9,1,0.435,0.929,0.65,175.448,0.719,0.793,0.955,0.983,0.861,1.0,0.896,0.607,0.578,0.541,0.685,0.679,0.0,0.0,0.635096,0.0,0.0,0.0,0.860656,happy
