Energy,Tempo,Mode,Key,Valence,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,Mood
0.6,99.189,0,10,0.8,0.695,0.116,0.093,0.024,0.017,0.239,0.097,0.013,0.045,0.02,0.438,1.0,happy
0.9229999999999999,112.936,1,10,0.531,0.956,0.573,0.312,0.39799999999999996,0.387,1.0,0.354,0.39899999999999997,0.366,0.28800000000000003,0.37,0.41700000000000004,angry
0.674,69.289,1,6,0.162,1.0,0.887,0.115,0.10300000000000001,0.079,0.06,0.054000000000000006,0.061,0.062,0.047,0.037000000000000005,0.141,sad
0.16699999999999998,139.763,1,0,0.7240000000000001,0.006999999999999999,0.004,0.004,0.06,0.473,1.0,0.233,0.006999999999999999,0.002,0.001,0.001,0.001,happy
0.639,171.609,1,1,0.184,0.924,0.505,0.18899999999999997,0.17,0.256,0.457,0.53,0.48,0.915,0.945,1.0,0.166,angry
0.78,167.278,1,7,0.38299999999999995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,angry
0.8079999999999999,147.998,0,4,0.469,0.5529999999999999,1.0,0.48,0.726,0.564,0.38299999999999995,0.451,0.541,0.395,0.319,0.474,0.314,angry
0.519,154.22,1,1,0.355,0.9620000000000001,1.0,0.792,0.7959999999999999,0.7929999999999999,0.794,0.8390000000000001,0.838,0.797,0.785,0.777,0.445,sad
0.97,95.337,0,11,0.502,0.114,0.17600000000000002,0.166,0.11,0.09300000000000001,0.129,1.0,0.098,0.114,0.127,0.179,0.631,angry
0.5770000000000001,114.478,1,4,0.845,0.89,0.546,0.381,0.275,0.262,0.34,0.33799999999999997,0.281,0.43200000000000005,0.8220000000000001,1.0,0.961,happy
0.7070000000000001,108.905,1,4,0.563,1.0,0.639,0.081,0.067,0.045,0.02,0.009000000000000001,0.028999999999999998,0.036000000000000004,0.034,0.031,0.12,relaxed
0.252,107.0,1,2,0.36700000000000005,0.171,0.011000000000000001,0.006,0.009000000000000001,0.008,0.027999999999999997,0.054000000000000006,0.015,0.022000000000000002,0.045,0.257,1.0,sad
0.879,108.06,0,11,0.39,1.0,0.94,0.578,0.59,0.597,0.63,0.598,0.586,0.564,0.539,0.483,0.094,angry
0.46799999999999997,75.798,1,7,0.597,1.0,0.955,0.386,0.37,0.33799999999999997,0.368,0.345,0.29600000000000004,0.243,0.151,0.10099999999999999,0.29600000000000004,relaxed
0.634,118.92200000000001,1,8,0.743,0.855,0.5720000000000001,0.509,0.49200000000000005,0.359,0.364,0.9570000000000001,1.0,0.605,0.585,0.057999999999999996,0.026000000000000002,happy
0.76,84.838,1,7,0.275,0.385,0.213,0.121,0.152,0.183,0.184,0.162,0.34600000000000003,1.0,0.982,0.358,0.18899999999999997,angry
0.84,103.384,0,4,0.775,0.039,0.05,0.111,0.251,1.0,0.121,0.04,0.152,0.049,0.038,0.054000000000000006,0.264,happy
