Song,T-Anger,T-Fear,T-Joy,T-Sadness,T-Analytical,T-Confident,T-Tentative,Mood
Gift by Rocco DeLuca & The Burden,0,0,0,0,0.654883,0,0,sad
Piss Angel by Pig Destroyer,0,0,0,0,0,0,0.859075,angry
Don't Let Me Be Misunderstood by Eric Burdon,0,0,0,0.593549,0,0,0.890302,angry
In The House Of Stone And Light by Martin Page,0,0,0,0,0,0.680879,0,relaxed
On Repeat by LCD Soundsystem,0,0,0,0,0,0.869578,0,happy
Katharina by Fotos,0,0,0,0,0,0,0,sad
Drowning In Your Eyes by Ephraim Lewis,0,0,0.523951,0,0.649807,0,0.762985,relaxed
Losing Sight by As I Lay Dying,0,0,0,0.764582,0.65761,0,0.738174,angry
Devil Gate Drive by Suzi Quatro,0,0,0,0,0,0.545859,0,happy
Feuer und Wasser by Rammstein,0,0,0,0,0,0,0,sad
On The Radio by The Concretes,0,0,0.698105,0,0.848028,0,0.798695,happy
Pool Party by The Aquabats,0,0,0.623493,0,0,0,0.541037,happy
"Honey Please, Can't Ya See by Barry White",0,0,0.56782,0,0,0,0.631794,happy
Use the Man by Megadeth,0,0,0,0,0,0,0,angry
Half In Love With Elizabeth by Mystery Jets,0,0,0,0,0,0,0.766705,happy
Gutless by Hole,0,0,0,0.552736,0,0.972242,0,angry
Silver Shadow by Atlantic Starr,0,0,0.806418,0,0.677987,0,0,relaxed
I Just Want To Celebrate by Rare Earth,0,0,0.635096,0,0,0,0.860656,happy
He Is Sailing by Jon & Vangelis,0,0,0.7866,0,0,0,0,relaxed
For the Damaged by Blonde Redhead,0,0,0,0,0,0,0.969598,angry
This Is Not an Exit by Anthrax,0,0.531665,0,0,0.84493,0.693873,0,angry
Peace Beneath the City by Iron & Wine,0,0,0.603142,0,0,0,0,relaxed
The Invitation by The Black Heart Procession,0,0,0.628433,0,0,0.966751,0,sad
Ether by Nas,0.608843,0,0,0.604274,0,0,0,angry
The Ice Hotel by Stacey Kent,0,0,0.714452,0,0,0,0,relaxed
That's Good by Devo,0,0,0.818988,0,0,0,0.839265,happy
Can We Find A Reason? by Lenny Kravitz,0,0,0,0.64092,0,0,0.916274,sad
Mighty Healthy by Ghostface Killah,0.655705,0.705243,0,0.664011,0,0,0.751891,angry
We Suck Young Blood by Radiohead,0,0,0.636905,0.642732,0,0,0,sad
Tequila Makes Her Clothes Fall Off by Joe Nichols,0,0,0,0.661126,0,0,0,happy
House on the Hill by Beach House,0,0,0,0,0,0,0.993284,relaxed
You're Pretty When I'm Drunk by Bloodhound Gang,0.721298,0,0,0,0,0,0.910926,happy
Bittersweet by Apocalyptica,0,0,0,0.502976,0,0,0,sad
Friend Like Me by Robin Williams,0,0,0.618765,0,0,0,0.914208,happy
Just Another High by Roxy Music,0,0,0.593765,0.630399,0,0,0.931855,sad
Senses Working Overtime by XTC,0,0,0.646766,0,0,0.886647,0,angry
Ebony Tears by Cathedral,0,0,0,0.539992,0.816179,0.916964,0,sad
"Cecille, My Love by J. Tillman",0.52999,0,0,0,0,0,0,relaxed
Round And Round by Jagged Edge,0,0,0.541528,0,0,0,0,relaxed
Dizzy by Jimmy Eat World,0,0,0,0,0.575542,0,0.73063,sad
Angels Fall First by Nightwish,0,0,0,0.67694,0,0.730865,0,sad
Wound In My Heart by Propaganda,0,0,0,0.681375,0,0,0,relaxed
Seems To Be on My Mind by Suburban Kids With Biblical Names,0,0,0.613562,0,0,0.815257,0,happy
The Wexford Carol by Celtic Woman,0,0,0.913901,0,0,0.78945,0,relaxed
Everybody's Got A Ticket To Ride Except For Me And My Lightning by Beatallica,0,0,0.627378,0,0,0,0.623954,happy
Babyfather by Sade,0,0,0.934982,0,0,0,0.786865,relaxed
Flagpole Sitta by Harvey Danger,0,0,0,0,0,0,0.639367,happy
If It's The Beaches by The Avett Brothers,0,0,0,0.776976,0.873474,0,0.891529,sad
Penses-Donc (Tu Es Seule) by Julie Doiron,0,0,0,0,0.530786,0,0,sad
The Company Dime by The Get Up Kids,0,0,0,0.541759,0.715169,0.901036,0,happy
The Predator by Ice Cube,0.525097,0,0,0,0,0,0,angry
Evil in a Closet by In Flames,0,0,0,0,0,0,0.920133,sad
More Than This by Vanessa Carlton,0,0,0.623243,0,0.547016,0.862626,0,relaxed
I Turned You Down by Riverside,0,0,0,0.888164,0,0,0,sad
Where've You Been by Kathy Mattea,0,0,0,0.534546,0,0.678324,0,sad
Water Shows the Hidden Heart by Enya,0,0,0,0,0,0,0.653201,relaxed
Sailor by Hem,0,0,0.682534,0,0,0,0.571918,relaxed
It Keeps You Runnin' by The Doobie Brothers,0,0,0,0.81207,0,0.522234,0,relaxed
Everything Sucks by Dope,0,0,0,0.552783,0,0,0.979138,angry
Irresponsible Hate Anthem by Marilyn Manson,0.704643,0,0,0,0,0.60167,0,angry
Soho Nights by The Puppini Sisters,0,0,0.700558,0,0,0,0,happy
Echodyne Harmonic by Sparta,0,0,0,0,0,0,0,relaxed
Tequila by The Champs,0,0,0,0,0,0,0,happy
Ace of Spades by Motorhead,0,0,0,0,0.547016,0,0.658666,angry
Lay It Down by Cowboy Junkies,0,0.525249,0,0,0,0.735152,0,relaxed
