Song,T-Anger,T-Fear,T-Joy,T-Sadness,T-Analytical,T-Confident,T-Tentative,Mood
One Step Too Far by Faithless,0,0,0,0.570681,0,0,0,relaxed
Day One: Vigil by Ayreon,0,0,0,0.564595,0,0,0.908434,sad
Catch The Rainbow by Rainbow,0,0,0.828141,0,0,0,0.840028,sad
Greenville by Lucinda Williams,0,0,0,0,0,0,0.770435,sad
Heart And Shoulder by Heather Nova,0,0,0,0.790061,0,0,0.724637,relaxed
Long Stick Goes Boom by Krokus,0,0,0,0,0,0.522234,0,angry
Sweet Darlin' by She & Him,0,0,0,0.512496,0,0,0.781683,happy
Action by Powerman 5000,0,0,0.52937,0,0,0,0.95408,angry
All For Swinging You Around by The New Pornographers,0,0,0,0.518739,0.873713,0,0,happy
And I'm Evil by Beatallica,0.709518,0,0,0,0,0,0.733641,happy
Chi by Korn,0,0,0,0.743478,0,0.624531,0,angry
Neon Moon by Brooks & Dunn,0,0,0,0.730222,0.664447,0.73229,0,sad
A Dream About You by Keri Noble,0,0,0,0.749115,0.51064,0,0.71572,relaxed
Around The World by Aqua,0,0,0.777893,0,0,0,0.664175,happy
Evil Urges by My Morning Jacket,0,0,0,0,0,0,0.947929,happy
Nothing Much to Lose by My Bloody Valentine,0,0,0.532833,0,0,0,0,sad
Chop Suey! by System of a Down,0,0.544894,0,0.698721,0,0,0,angry
The Freak Show by Antimatter,0,0,0.671339,0,0,0.559726,0,sad
Omen Sore by ERA,0,0.571288,0,0,0,0,0,relaxed
When I Get Where I'm Going by Brad Paisley,0,0,0.671823,0.662054,0,0,0.51835,sad
Victory by Megadeth,0,0,0,0.535245,0,0,0.850625,angry
The Not Knowing by Tindersticks,0,0,0.651483,0,0,0,0.874805,sad
My Baby Does Me by Queen,0,0,0.832594,0,0.681506,0,0,happy
Morning Glory by Tim Buckley,0,0.8352,0,0,0,0,0.917243,sad
Black Light District by The Gathering,0,0,0,0.84885,0,0,0,sad
Can You Hear The Music by The Rolling Stones,0,0,0.754262,0,0,0,0.931982,sad
Reminiscing by Little River Band,0,0,0.532753,0,0,0,0,relaxed
Dead and Buried by Alien Sex Fiend,0,0,0,0.557401,0,0,0,angry
Sway by Voxtrot,0,0,0,0.81482,0,0,0.50589,sad
Homebird by Foy Vance,0,0,0.534761,0,0,0,0.658666,relaxed
Rain Song by COLD,0,0,0,0.624501,0,0.939867,0,sad
Cruel Summer by Bananarama,0,0,0,0.578234,0,0,0.658666,happy
Still in Love by Nick Cave and the Bad Seeds,0,0,0,0,0,0,0.953578,sad
Papi by Jennifer Lopez,0,0,0.85563,0,0.701671,0.820205,0,happy
Anorak Christmas by Sally Shapiro,0,0,0,0,0,0.56543,0,relaxed
Fun Fun Fun by Busted,0,0,0.695394,0,0,0,0.761129,happy
Sex. Murder. Art. by Slayer,0,0,0.539229,0,0,0,0,angry
4 Words (To Choke Upon) by Bullet For My Valentine,0,0,0,0.532294,0.964507,0.502153,0,angry
Lovestain by José González,0,0,0,0.672659,0,0,0,relaxed
I Would Like To Call It Beauty by Corinne Bailey Rae,0,0,0.708109,0,0,0,0,relaxed
Meadow by Espers,0,0,0,0,0.53889,0,0.616216,relaxed
London Calling by The Clash,0,0,0,0,0.620534,0,0,angry
Orgasmatron by Motörhead,0,0,0,0,0,0.59538,0,angry
Back To Manhattan by Norah Jones,0,0,0,0,0.747663,0,0.539798,sad
If You Know Love by Molly Johnson,0,0,0.853508,0,0.793256,0,0,relaxed
Ophelia by The Tear Garden,0,0,0.709503,0,0,0,0.898839,sad
Letter To God by Hole,0,0,0,0.702786,0,0,0,sad
Washington Is Next! by Megadeth,0.586186,0,0,0,0,0,0.619299,angry
Flora's Secret by Enya,0,0,0.704321,0,0,0,0,relaxed
Sex Dwarf by Soft Cell,0,0,0.561492,0,0,0,0,happy
I Only Want To Be With You by Dusty Springfield,0,0,0.550773,0,0,0,0.60858,happy
Mea Culpa by Enigma,0,0,0.566594,0,0,0,0,relaxed
Sun (acoustic) by Mae,0,0,0.576126,0.554794,0.526692,0,0.921459,relaxed
Highway to Hell by AC/DC,0.587346,0,0,0,0,0,0,angry
I Still Get Jealous by Louis Armstrong,0,0,0,0.542437,0.61788,0,0,relaxed
Beauty And The Beast by Jump5,0,0,0.774696,0,0,0,0.50589,happy
Flowery Noontide by Espers,0.660873,0,0,0,0,0,0.978371,relaxed
Elvis Presley and America by U2,0,0,0.630648,0,0.567613,0,0.555203,sad
Without You by Dixie Chicks,0,0,0,0.877994,0,0,0,sad
Take Your Mama by Scissor Sisters,0,0,0.669347,0,0,0,0.718259,happy
7 Minutes by Noir Désir,0,0,0.56582,0,0,0,0.601046,angry
Fitter Happier by Radiohead,0,0,0.654734,0,0.7162,0.740925,0,sad
Fields Of Gray by Bruce Hornsby,0,0,0,0.790757,0,0,0.774175,relaxed
St. Robinson In His Cadillac Dream by Counting Crows,0,0,0,0,0,0,0,relaxed
Verne by Novembre,0,0,0,0,0,0,0,sad
Love and Destroy by Franz Ferdinand,0,0,0,0.742184,0,0,0,happy
Rinse by Vanessa Carlton,0,0,0,0.533144,0.759706,0.704539,0,sad
I Don't Wanna Die Anymore by New Radicals,0,0,0,0.778849,0,0,0,sad
Back Into Your System by Saliva,0,0,0.547669,0,0,0.871321,0,relaxed
End by Secondhand Serenade,0,0,0,0,0,0,0,sad
In The Mood by Robert Plant,0,0,0.73576,0,0,0,0,relaxed
Man Must Dance by Johnossi,0,0,0.640959,0,0,0,0.839232,happy
Cish Cash  by Basement Jaxx,0,0,0,0,0,0.857199,0,happy
Don't Turn Around by Ace of Base,0,0,0,0.710897,0,0,0.912195,happy
High School by Nerf Herder,0.599976,0,0,0,0.693298,0,0.642407,happy
Steamy Windows by Tina Turner,0,0,0.615184,0,0.607307,0,0,happy
Slowboat by Sparks,0,0,0,0.604781,0,0,0.822511,sad
A Modern Way Of Letting Go by Idlewild,0,0,0,0,0.935542,0,0,angry
My Funny Valentine by Anita Baker,0,0,0.94063,0,0,0,0,relaxed
Des Illusions by Dark Sanctuary,0,0,0,0,0,0,0,sad
Lightning by Eric Church,0,0,0,0,0,0,0,sad
Less Than a Pearl by Enya,0,0,0,0,0,0,0,relaxed
Dolphins by Tim Buckley,0,0,0,0,0.919926,0,0.924421,sad
Paranoiattack by The Faint,0,0.557348,0,0,0,0.78945,0,happy
Countdown to Extinction by Megadeth,0.556063,0,0,0,0.568833,0.693873,0,angry
Keeping You by Tanya Donelly,0,0,0,0.648511,0.88217,0,0,relaxed
The Figurehead by The Cure,0,0.559874,0,0,0,0,0,sad
Mickey by Toni Basil,0,0,0,0,0,0,0,happy
"Cheer Up, Boys (Your Make Up Is Running) by Foo Fighters",0,0,0,0.587868,0,0,0,happy
Ghetto Vet by Ice Cube,0.609555,0,0,0,0,0,0,angry
Necrophiliac by Slayer,0,0,0,0,0,0,0.71572,angry
Sleepsong by Secret Garden,0,0,0.826998,0,0,0,0.631794,relaxed
Prisoners of Today by Billy Talent,0,0,0,0.740879,0,0,0.677579,angry
Brand New Day by Sting,0,0,0,0.691096,0,0,0,happy
Psychopathy Red by Slayer,0,0.668358,0,0,0,0.794212,0,angry
You Belong To Me by Anita Baker,0,0,0.529495,0,0,0.914714,0,relaxed
Pocket by Sam Sparro,0,0,0,0,0,0,0.925484,happy
Le Ciel Dans Une Chambre by Carla Bruni,0,0,0,0,0,0,0,relaxed
Tone Poem by Fischerspooner,0,0,0,0,0,0,0,relaxed
Foxtrot Uniform Charlie Kilo by Bloodhound Gang,0,0,0,0.530165,0,0,0,happy
One Hundred Years by The Cure,0,0.655507,0,0,0,0,0.635753,sad
Gone With The Day by Faunts,0,0.597189,0,0.525098,0,0,0,relaxed
Celebration by Kool & The Gang,0,0,0.642611,0,0,0,0,happy
Super-Charger Heaven by White Zombie,0,0,0.560402,0,0,0,0.684404,angry
Thank You For The Music by Abba,0,0,0.958815,0,0,0.57416,0,happy
Durch die Nacht by Silbermond,0,0,0,0,0,0,0,sad
The Visit (She Was Here) by The Cyrkle,0,0,0.548007,0,0.584719,0,0.833659,relaxed
Fury by Prince,0,0,0,0,0,0,0.776674,angry
Baby Be Brave (album version) by The Corrs,0,0.622935,0,0,0,0,0,relaxed
Overjoyed by Magnet,0,0,0,0,0.650284,0,0,relaxed
