Song,Key,Mode,Danceability,Energy,Valence,Tempo,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,L-Anger,L-Fear,L-Joy,L-Sadness,L-Analytical,L-Confident,L-Tentative,Mood
I Want Your Sex - Pts. 1 & 2 Remastered by George Michael,10,0,0.812,0.6,0.8,99.189,0.695,0.116,0.093,0.024,0.017,0.239,0.097,0.013,0.045,0.02,0.438,1.0,0,0,0,0,0,0,0.762676,happy
Pussy Liquor by Rob Zombie,10,1,0.54,0.923,0.531,112.936,0.956,0.573,0.312,0.398,0.387,1.0,0.354,0.399,0.366,0.288,0.37,0.417,0.837899,0,0,0,0,0,0,angry
12 by Katatonia,6,1,0.134,0.674,0.162,69.289,1.0,0.887,0.115,0.103,0.079,0.06,0.054,0.061,0.062,0.047,0.037,0.141,0,0,0,0.528958,0,0,0,sad
Swinging On A Star - Single Version by Bing Crosby,0,1,0.706,0.167,0.724,139.763,0.007,0.004,0.004,0.06,0.473,1.0,0.233,0.007,0.002,0.001,0.001,0.001,0.624531,0,0,0,0,0,0.944534,happy
Get Back by Ludacris,1,1,0.555,0.639,0.184,171.609,0.924,0.505,0.189,0.17,0.256,0.457,0.53,0.48,0.915,0.945,1.0,0.166,0.709843,0,0,0,0,0,0.687534,angry
Ifwhiteamericatoldthetruthforonedayit'sworldwouldfallapart - Remastered by Manic Street Preachers,4,0,0.348,0.808,0.469,147.998,0.553,1.0,0.48,0.726,0.564,0.383,0.451,0.541,0.395,0.319,0.474,0.314,0,0,0.781743,0,0,0,0,angry
If You're Gonna Leave by Emerson Hart,1,1,0.448,0.519,0.355,154.22,0.962,1.0,0.792,0.796,0.793,0.794,0.839,0.838,0.797,0.785,0.777,0.445,0.651943,0,0,0,0,0,0.950454,sad
Architecture Of Aggression by Megadeth,11,0,0.537,0.97,0.502,95.337,0.114,0.176,0.166,0.11,0.093,0.129,1.0,0.098,0.114,0.127,0.179,0.631,0,0,0,0.56911,0,0.670747,0,angry
Heart Of Glass - Special Mix by Blondie,4,1,0.694,0.577,0.845,114.478,0.89,0.546,0.381,0.275,0.262,0.34,0.338,0.281,0.432,0.822,1.0,0.961,0,0,0,0,0,0,0.827288,happy
Impossible by The Clientele,4,1,0.439,0.707,0.563,108.905,1.0,0.639,0.081,0.067,0.045,0.02,0.009,0.029,0.036,0.034,0.031,0.12,0,0,0,0.574506,0.570598,0.939384,0,relaxed
Love is All by The Tallest Man On Earth,2,1,0.624,0.252,0.367,107.0,0.171,0.011,0.006,0.009,0.008,0.028,0.054,0.015,0.022,0.045,0.257,1.0,0,0,0,0,0,0,0,sad
Silence Is Golden by Garbage,11,0,0.386,0.879,0.39,108.06,1.0,0.94,0.578,0.59,0.597,0.63,0.598,0.586,0.564,0.539,0.483,0.094,0,0.617185,0,0,0.876898,0,0.830009,angry
And It Stoned Me - 2013 Remaster by Van Morrison,7,1,0.593,0.468,0.597,75.798,1.0,0.955,0.386,0.37,0.338,0.368,0.345,0.296,0.243,0.151,0.101,0.296,0,0,0,0,0,0,0.903094,relaxed
I'm on My Way by The Proclaimers,8,1,0.824,0.634,0.743,118.922,0.855,0.572,0.509,0.492,0.359,0.364,0.957,1.0,0.605,0.585,0.058,0.026,0,0,0.516311,0,0,0,0.527933,happy
My Gun Go Off by 50 Cent,7,1,0.632,0.76,0.275,84.838,0.385,0.213,0.121,0.152,0.183,0.184,0.162,0.346,1.0,0.982,0.358,0.189,0,0,0,0,0,0,0.777243,angry
Mamacita by Collie Buddz,4,0,0.593,0.84,0.775,103.384,0.039,0.05,0.111,0.251,1.0,0.121,0.04,0.152,0.049,0.038,0.054,0.264,0,0,0.860156,0,0,0.509802,0,happy
Coming Home by Avenged Sevenfold,1,0,0.378,0.975,0.457,178.008,0.978,0.927,0.735,0.734,0.99,0.615,0.743,0.87,1.0,0.785,0.72,0.957,0,0,0,0,0.706763,0.840077,0,angry
How Does It Feel by Avril Lavigne,0,1,0.646,0.583,0.339,118.055,0.867,0.826,0.8,0.875,0.91,0.895,0.879,1.0,0.879,0.892,0.928,0.936,0,0.590764,0,0.563847,0,0,0.906451,sad
Never Went to Church by The Streets,4,0,0.674,0.523,0.404,72.79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.713779,0,0,0,0,0.874805,sad
Chuckie by Geto Boys,1,0,0.745,0.412,0.51,169.956,0.153,0.089,0.148,0.331,0.287,0.544,0.53,0.137,0.14,0.184,0.876,1.0,0.535248,0,0,0.503814,0,0,0.709824,angry
September by David Sylvian,6,0,0.462,0.067,0.271,36.959,0.689,0.671,0.681,0.591,0.471,0.521,0.651,0.95,1.0,0.675,0.567,0.553,0,0,0.921137,0,0,0,0,relaxed
The Tide Began to Rise by Demon Hunter,2,0,0.505,0.667,0.152,137.977,0.946,0.761,0.674,0.722,0.831,1.0,0.822,0.676,0.665,0.711,0.726,0.906,0,0,0,0.555579,0,0,0,sad
Better Left Unsaid by Lily Holbrook,1,0,0.555,0.57,0.142,132.027,0.517,0.99,1.0,0.969,0.917,0.912,0.342,0.337,0.365,0.354,0.137,0.157,0,0,0,0.554562,0.858201,0,0.914329,sad
Illusion by Creed,5,1,0.395,0.711,0.353,88.769,0.136,0.012,0.01,0.033,0.011,0.014,0.278,0.049,0.022,0.027,0.036,1.0,0,0,0,0.60037,0,0,0.982669,angry
Matkustaja by Egotrippi,9,1,0.488,0.615,0.686,130.05,0.142,1.0,0.119,0.172,0.245,0.204,0.787,0.218,0.294,0.109,0.295,0.217,0,0,0,0,0,0,0,sad
Don't Give Up by The Whitest Boy Alive,7,1,0.461,0.639,0.466,113.945,0.13,0.17,0.229,0.437,1.0,0.509,0.254,0.175,0.148,0.105,0.104,0.127,0,0,0,0,0.625997,0.537798,0,relaxed
By the Pain I See in Others by Opeth,2,1,0.3,0.555,0.0784,97.3,0.865,0.638,1.0,0.562,0.498,0.531,0.64,0.625,0.386,0.736,0.491,0.794,0,0,0,0.501566,0,0,0,sad
